Party and Electorate Candidate Votes Recorded at each Voting Place
Te Tai Tokerau 70,Candidate Vote Details
,,"DAVIS, Kelvin Glen","HERBERT, Maki","KAPA-KINGI, Mariameno","LYNDON, Hūhana","TOAUTU, Paturiri",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Auckland Central
Pukepoto,"Pukepoto School, 818 Kaitaia-Awaroa Road",8,3,11,7,1,30,2
Rawene,"Rawene Town Hall, 9 Parnell Street",14,6,10,5,1,36,0
Ruawai,"Ruawai Primary School, 4376 State Highway 12",18,2,9,2,0,31,0
Russell,"Anglican Parish Hall, Church Street",17,3,6,3,1,30,0
Taipa,"Doubtless Bay Squash Club, 10 East Street",18,3,16,4,0,41,3
Tangiteroria,"Tangiteroria School, 3069 State Highway 14",4,1,1,0,0,6,0
Tangowahine,"Tangowahine Primary School, 36 Tangowahine Valley Road",3,3,1,1,0,8,0
Tautoro,"Tautoro School, Mangakahia Road",11,1,9,5,0,26,0
Te Hāpua,"Te Hāpua School, Te Hāpua Road",18,1,18,12,0,49,1
Te Kao,"Te Kura o Te Kao, 6603 Far North Road",8,2,20,10,0,40,0
Te Kōpuru,"Te Kōpuru School, 9 Norton Street",11,2,11,2,1,27,0
Tinopai,"Tinopai Primary School, 1913 Tinopai Road",12,3,7,3,0,25,0
Titoki,"Mangakahia Area School, 1482 Mangakahia Road",13,2,5,5,0,25,1
Totara North,"Totara North Hall, 4 School Road",6,2,3,2,1,14,0
Towai,"Maromaku School, 37 Maromaku School Road",2,1,2,4,0,9,0
Umawera,"Umawera School, State Highway 1",8,2,3,2,0,15,0
Waiharara,"Waiharara School, 8 Katavich Road",8,4,3,4,0,19,0
Waimā,"Waimā School, Waimā School Road (State Highway 12)",14,2,19,7,0,42,0
Waimamaku,"Waimamaku Town Hall, 7232 State Highway 12",33,4,12,7,0,56,1
Waimate North,"St John's Sunday School Hall, 344 Te Ahu Ahu Road",6,3,7,4,0,20,0
