Party and Electorate Candidate Votes Recorded at each Voting Place
Te Tai Hauāuru 69,Candidate Vote Details
,,"HIPANGO, Harete Makere","NGAREWA-PACKER, Debbie Anne","PEKE, Soraya Waiata","WINIATA, Paris James",Total Valid Candidate Votes,Informal Candidate Votes
,"St Mary's Church Hall, (corner Guyton Street & Wicksteed Street)",10,205,76,2,293,5
Whanganui East,"Hakeke Street Community Centre, 65 Hakeke Street",4,68,39,1,112,3
Ōhāriu
Taken in Ōhāriu,"Pop-up Voting Services, Various Locations - Grenada North and Newlands",1,4,1,0,6,0
,"Prison Team, Team 1",0,4,3,1,8,0
Tawa,"Tawa Community Centre, 5 Cambridge Street",3,31,17,0,51,2
,"Tawa Union Church, 6 Elena Place",1,3,4,0,8,0
Ōtaki
Foxton,"Te Awahou Nieuwe Stroom, 92 Main Street",11,70,41,7,129,1
Levin,"Arohamai Literacy Centre, 19 Bristol Street",0,7,7,0,14,0
,"Horowhenua District Council, 126 Oxford Street",5,64,34,6,109,5
,"Muaupoko Tribal Authority Inc, 306 Oxford Street",0,10,3,2,15,0
,"Taitoko School Hall, 38 Kinross Street",1,17,10,2,30,1
,"Te Takeretanga o Kura-hau-pō - Levin Public Library, 10 Bath Street",12,230,146,18,406,8
Ōtaki,"Nga Purapura-Te Wānanga O Raukawa, 145 Tasman Road",1,189,24,3,217,1
,"Ōtaki Presbyterian Church, 249 Mill Road",8,132,42,9,191,1
Ōtaki Beach,"Ōtaki Health Camp, 29 Health Camp Road",0,13,0,0,13,1
Paraparaumu,"Coastlands Mall, Countdown Foyer, Old State Highway 1",27,151,87,9,274,5
,"Kapiti Youth Support, 15 Tutanekai Street",1,3,4,0,8,0
,"St Paul's Anglican Church, 1 Langdale Avenue",7,36,21,2,66,2
Waikanae,"Waikanae Marae, 2 Marae Lane",4,63,23,3,93,0
,"Waikanae Presbyterian Church, 43 Ngaio Road",2,21,11,2,36,1

Voting Places
Mana
Aotea,"Aotea College Multi-Space Unit, Okowai Road, access from Frances Brown Drive carpark",3,11,6,0,20,2
Ascot Park,"Rangikura School Hall, 95 Conclusion Street",2,30,12,0,44,0
Cannons Creek,"Cannons Creek School Hall, 5 Warspite Avenue",4,25,23,1,53,1
,"Maraeroa School Hall, 47 Driver Crescent",0,8,10,0,18,1
,"The Salvation Army, 89 Warspite Avenue",0,17,18,1,36,2
,"Windley School Hall, 146 Mungavin Avenue",0,13,16,2,31,1
Linden,"Linden Social Centre, 10 Linden Avenue",1,30,15,0,46,1
Mana,"St Barnabas Church Hall, 106 Mana Esplanade",5,13,7,1,26,0
Paekākāriki,"Paekākāriki School Hall, 100 Wellington Road",1,20,10,2,33,1
Papakōwhai,"Papakōwhai School Hall, 17 Spey Place",3,21,1,2,27,0
Paraparaumu,"Paraparaumu Baptist Church, 77 Ruapehu Street",2,10,7,2,21,0
Pāuatahanui,"Pāuatahanui School Hall, 12 Paekākāriki Hill Road",2,4,1,1,8,0
